站点ID,记录中出现过的站名,bus_stops站名
BV09006413,革新路口 / 革新路口站,革新路口
BV10681376,基建新村 / 基建新村站,基建新村站
BV09360551,花园酒店 / 花园酒店站,花园酒店
BV09006391,珠江泳场 / 珠江泳场站,珠江泳场
BV09241995,中大北门站 / 中大北门,中大北门
BV09241994,珠江广场 / 珠江广场站,珠江广场
BV10021647,新鸿花园站 / 新鸿花园,新鸿花园
BV11688336,冼村路中 / 冼村路中站,冼村路中
BV09005198,天河邮局站 / 天河邮局,天河邮局
BV10015220,体育东路站 / 体育东路,体育东路
BV09310407,林和中路1 / 林和中路,林和中路1
BV09383025,林和西路2 / 林和西路,林和西路2
BV09387478,江南新村 / 江南新村站,江南新村
BV11567615,橡胶新村 / 橡胶新村站,橡胶新村
BV11688515,金宇花园 / 金宇花园站,金宇花园
BV10019648,洛城中学站 / 洛城中学,洛城中学站
BV09005210,洛溪桥脚 / 洛溪桥脚站,洛溪桥脚
BV11688553,客村立交 / 客村立交站,客村立交
BV11481123,时代广场 / 时代广场站,时代广场
BV11509447,林和西路3 / 林和西路,林和西路3
BV09309831,时代广场 / 时代广场2,时代广场2
BV10017690,松柏东街站 / 松柏东街,松柏东街
BV11088404,交电新村 / 交电新村站,交电新村
BV11688461,解放中路 / 解放中路站,解放中路
BV09271782,荔湾路口1 / 荔湾路口,荔湾路口1
BV11688394,东升医院 / 东升医院站,东升医院
BV10015193,丽江花园站 / 丽江花园,丽江花园
BV10015195,丽江路口站 / 丽江路口,丽江路口
BV09245639,海印桥南1 / 海印桥南,海印桥南1
BV11687876,江湾桥脚站 / 江湾桥脚,江湾桥脚
BV11687913,越秀南路站 / 越秀南路,越秀南路
BV09226118,白云宾馆2 / 白云宾馆,白云宾馆2
BV09006131,石丰路口 / 石丰路口站,石丰路口
BV11687972,石井中学 / 石井中学站,石井中学
BV11688424,祥景花园 / 祥景花园站,祥景花园
BV11688401,永泰路口 / 永泰路口站,永泰路口
BV11688463,元岗横路 / 元岗横路站,元岗横路
BV11136772,天字码头站 / 天字码头,天字码头站
BV10607944,爱群大厦 / 爱群大厦站,爱群大厦
BV09319719,人民南路 / 人民南路1,人民南路1
BV09340762,大新路口 / 大新路口1,大新路口1
BV09002684,人民北路 / 人民北路站,人民北路
BV09323095,海角红楼 / 海角红楼站,海角红楼
BV11688451,南方大厦 / 南方大厦站,南方大厦站
BV11688522,靖海路口 / 靖海路口站,靖海路口站
BV09176206,锦绣香江站 / 锦绣香江,锦绣香江
BV11691212,万博中心站 / 万博中心,万博中心
BV11688093,南大路口站 / 南大路口,南大路口
BV11688563,洛溪新城站 / 洛溪新城,洛溪新城
BV09025579,南洲路口站 / 南洲路口,南洲路口
BV09006426,瑞南新村站 / 瑞南新村,瑞南新村
BV10013742,东晓南路站 / 东晓南路,东晓南路
BV09079557,晓港新村站 / 晓港新村,晓港新村
BV10018549,东华南路站 / 东华南路,东华南路
BV11095871,华景北路站 / 华景北路,华景北路站
BV11062767,五山路口 / 五山路口站,五山路口站
BV09005187,南方报社 / 南方报社站,南方报社
BV09377599,客村立交2 / 客村立交,客村立交2
BV11081664,师大后门 / 师大后门站,师大后门
BV09005990,赤岗路口 / 赤岗路口站,赤岗路口
BV11363917,文化公园 / 文化公园站,文化公园
BV11164816,荔湾路口2 / 荔湾路口,荔湾路口2
BV09374493,东风西路2 / 东风西路,东风西路站2
BV09229322,市少年宫1 / 市少年宫,市少年宫1
BV09205705,广东大厦1 / 广东大厦,广东大厦1
BV09230309,正骨医院1 / 正骨医院,正骨医院1
BV11688452,广东工大 / 广东工大站,广东工大站
BV09230308,正骨医院2 / 正骨医院,正骨医院2
BV09243518,彩虹戏院 / 彩虹戏院站,彩虹戏院
BV09010638,和平新村3 / 和平新村,和平新村3
BV09006120,沙太南路 / 沙太南路站,沙太南路
BV09314787,豪景花园2 / 豪景花园,豪景花园2
BV09410279,国防大厦 / 国防大厦3,国防大厦3
BV09285359,员村山顶2 / 员村山顶,员村山顶2
BV10714270,林和东路 / 林和东路站,林和东路
BV10988163,兴盛路口 / 兴盛路口站,兴盛路口
BV09355197,马场路中 / 马场路中站,马场路中
BV11462417,花城大道站 / 花城大道,花城大道
BV09310405,天河东路 / 天河东路1,天河东路1
BV11688454,解放南路 / 解放南路站,解放南路
BV11603078,新滘中路站 / 新滘中路,新滘中路
BV09001038,黄沙大道 / 黄沙大道站,黄沙大道
BV11621853,基立下道 / 基立下道2,基立下道2
BV09330208,沙河大街1 / 沙河大街,沙河大街1
BV09006149,盈翠华庭站 / 盈翠华庭,盈翠华庭
BV11481120,大金钟路 / 大金钟路站,大金钟路
BV09318948,濂泉路口 / 濂泉路口1,濂泉路口1
BV09006146,西湾和苑 / 西湾和苑站,西湾和苑
BV10017170,广园西路 / 广园西路站,广园西路
BV10013627,广园中路 / 广园中路站,广园中路
BV09364566,云台花园 / 云台花园3,云台花园3
BV11688373,凰岗路口 / 凰岗路口站,凰岗路口站
BV11688398,泽德花苑 / 泽德花苑站,泽德花苑
BV11688470,康王中路 / 康王中路站,康王中路
BV11687902,客轮船厂 / 客轮船厂站,客轮船厂
BV10016102,南洲名苑 / 南洲名苑站,南洲名苑
BV09001134,鹤洞路西 / 鹤洞路西站,鹤洞路西站
BV11688526,广中码头 / 广中码头站,广中码头
BV10599083,黄沙码头 / 黄沙码头站,黄沙码头
BV11688352,六二三路 / 六二三路站,六二三路
BV11688480,康王南路 / 康王南路站,康王南路站
BV09374435,康王北路 / 康王北路站,康王北路
BV11688449,市少年宫 / 市少年宫站,市少年宫
BV11091378,流花公园 / 流花公园站,流花公园
BV10013622,草暖公园 / 草暖公园站,草暖公园
BV09243511,西华路尾 / 西华路尾站,西华路尾
BV09355408,六二三路2 / 六二三路,六二三路2
BV10800467,真光中学 / 真光中学站,真光中学站
BV09241189,中山五路 / 中山五路站,中山五路
BV09277540,逸景路东 / 逸景路东站,逸景路东
BV11278166,东风东路 / 东风东路站,东风东路站
BV11688575,东峻广场 / 东峻广场站,东峻广场
BV11601080,肿瘤医院 / 肿瘤医院站,肿瘤医院
BV11554813,雕塑公园 / 雕塑公园站,雕塑公园
BV09006123,下塘西路 / 下塘西路站,下塘西路
BV11688435,体育中心 / 体育中心站,体育中心
BV11688545,体育中心 / 体育中心站,体育中心
BV11688346,广医二院 / 广医二院站,广医二院
BV11596046,中山五路2 / 中山五路,中山五路2
BV11687926,白云路东 / 白云路东站,白云路东
BV09317509,中山六路 / 中山六路站,中山六路
BV11688504,桥东小区 / 桥东小区站,桥东小区
BV11519157,天河公园 / 天河公园站,天河公园
BV10713672,松南路口 / 松南路口站,松南路口
BV11121619,松南街口 / 松南街口站,松南街口
BV10713665,东旺市场 / 东旺市场站,东旺市场
BV11346875,增槎路北 / 增槎路北站,增槎路北
BV09345881,悦云路口站 / 悦云路口,悦云路口
BV11689390,雅宝新城站 / 雅宝新城,雅宝新城站
BV09003434,长岗中学 / 长岗中学站,长岗中学站
BV09409855,东风中路 / 东风中路站,东风中路
BV10714249,黄村立交 / 黄村立交站,黄村立交站
BV09242887,茅岗路口 / 茅岗路口站,茅岗路口站
BV11619529,瑞东花园站 / 瑞东花园,瑞东花园站
BV09389929,消防总队 / 消防总队站,消防总队
BV11688087,东乡村西 / 东乡村西站,东乡村西站
BV11688059,东乡村东 / 东乡村东站,东乡村东站
BV10714271,黄埔水库站 / 黄埔水库,黄埔水库站
BV10714274,储运公司站 / 储运公司,储运公司站
BV11690297,东区路口站 / 东区路口,东区路口
BV11162263,东兴市场 / 东兴市场站,东兴市场
BV11690298,康南路口站 / 康南路口,康南路口站
BV09108103,南岗沧头站 / 南岗沧头,南岗沧头站
BV11312275,东华东路 / 东华东路站,东华东路
BV09001039,花地大道站 / 花地大道,花地大道
BV11689184,长兴路东 / 长兴路东站,长兴路东
BV11279611,黄埔大道 / 黄埔大道站,黄埔大道
BV11688541,明珠新村 / 明珠新村站,明珠新村
BV11688457,冶金技校 / 冶金技校站,冶金技校
BV10681380,珠江医院 / 珠江医院站,珠江医院
BV09269675,海港花园 / 海港花园2,海港花园2
BV11688521,江湾桥南站 / 江湾桥南,江湾桥南
BV11688513,基立下道站 / 基立下道,基立下道
BV09353093,站前路中 / 站前路中站,站前路中
BV10017167,汇侨南路 / 汇侨南路站,汇侨南路
BV09226112,天河立交 / 天河立交2,天河立交2
BV11688546,太和中路 / 太和中路站,太和中路
BV09184301,广信中学 / 广信中学站,广信中学
BV09328895,康王南路 / 康王南路2,康王南路2
BV11520709,小洲路东 / 小洲路东站,小洲路东
BV09002629,燕塘企业 / 燕塘企业站,燕塘企业
BV11688393,濂泉路口 / 濂泉路口站,濂泉路口
BV11371562,云台花园 / 云台花园站,云台花园
BV09260273,武警医院1 / 武警医院,武警医院1
BV11361603,石溪村口 / 石溪村口站,石溪村口
BV09190193,汇彩路口 / 汇彩路口站,汇彩路口站
BV11361606,鱼珠码头 / 鱼珠码头站,鱼珠码头站
BV10713659,体育花园站 / 体育花园,体育花园站
BV09368078,滘心东路 / 滘心东路站,滘心东路
BV11346876,鸦岗路口 / 鸦岗路口站,鸦岗路口
BV09332378,沙河大街2 / 沙河大街,沙河大街2
BV11091392,解放北路 / 解放北路站,解放北路站
BV11689053,钟村市场站 / 钟村市场,钟村市场
BV09000362,石壁路口站 / 石壁路口,石壁路口
BV11687895,大石桥南 / 大石桥南站,大石桥南
BV09360318,嘉鸿花园1 / 嘉鸿花园,嘉鸿花园1
BV11689167,科韵路中 / 科韵路中站,科韵路中
BV11688445,城西花园 / 城西花园站,城西花园
BV09000472,伟伦体校 / 伟伦体校站,伟伦体校
BV09269031,长湴市场 / 长湴市场站,长湴市场
BV09295166,东升医院 / 东升医院2,东升医院2
BV09266315,地铁谢村站 / 地铁谢村,地铁谢村
BV10019793,清河市场 / 清河市场站,清河市场站
BV11690798,东怡新区 / 东怡新区站,东怡新区站
BV11690377,番禺广场站 / 番禺广场,番禺广场站
BV10014904,星海公园 / 星海公园站,星海公园站
BV11691195,广场西路 / 广场西路站,广场西路站
BV11689286,官堂万达 / 官堂万达站,官堂万达
BV09201144,兴南大道站 / 兴南大道,兴南大道
BV11689288,南村医院 / 南村医院站,南村医院站
BV10014331,南山公园 / 南山公园站,南山公园
BV10014699,黄编牌坊 / 黄编牌坊站,黄编牌坊
BV11688072,体育公园 / 体育公园站,体育公园
BV11688051,龙美牌坊 / 龙美牌坊站,龙美牌坊
BV09000770,冼庄立交 / 冼庄立交站,冼庄立交
BV10019637,南国奥园站 / 南国奥园,南国奥园
BV11279603,磨碟沙路站 / 磨碟沙路,磨碟沙路站
BV10022809,会展公园站 / 会展公园,会展公园站
BV10022808,阅江中路站 / 阅江中路,阅江中路站
BV10018513,朝阳东路 / 朝阳东路站,朝阳东路
BV11689462,大良医院 / 大良医院站,大良医院站
BV09002644,天源路中站 / 天源路中,天源路中站
BV10847065,龙洞路口 / 龙洞路口站,龙洞路口
BV11691194,洛涛南区 / 洛涛南区站,洛涛南区站
BV11164936,沙坑牌坊站 / 沙坑牌坊,沙坑牌坊站
BV11164938,金沙人家站 / 金沙人家,金沙人家站
BV11164941,五沙一村站 / 五沙一村,五沙一村站
BV09200357,华侨中学站 / 华侨中学,华侨中学站
BV09358021,聚胜花园站 / 聚胜花园,聚胜花园站
BV11689573,市委党校站 / 市委党校,市委党校站
BV11419912,金桔咀桥站 / 金桔咀桥,金桔咀桥站
BV11164920,钟村小学 / 钟村小学站,钟村小学
BV10017598,笔岗村口站 / 笔岗村口,笔岗村口
BV11689041,勒竹新村 / 勒竹新村站,勒竹新村
BV09006108,火村路口 / 火村路口站,火村路口
BV11691183,瑞和路北 / 瑞和路北站,瑞和路北
BV11690289,石桥新村 / 石桥新村站,石桥新村
BV10022232,天泰二路站 / 天泰二路,天泰二路站
BV09412247,观达路中 / 观达路中站,观达路中站
BV11467009,云埔二路 / 云埔二路站,云埔二路
BV09000522,丰乐北路 / 丰乐北路站,丰乐北路
BV11688126,天鹿小区 / 天鹿小区站,天鹿小区
BV10847101,联和路口 / 联和路口站,联和路口
BV11412827,暹岗村西 / 暹岗村西站,暹岗村西
BV10653045,开创大道 / 开创大道站,开创大道站
BV09344033,开达路北 / 开达路北站,开达路北
BV09344032,开达路中 / 开达路中站,开达路中
BV09193686,开达路南 / 开达路南站,开达路南站
BV09198379,科丰路南 / 科丰路南站,科丰路南
BV10847054,岭南学院 / 岭南学院站,岭南学院
BV10847049,科学大道 / 科学大道站,科学大道
BV11182294,金峰园路 / 金峰园路站,金峰园路
BV09234811,科珠路北站 / 科珠路北,科珠路北站
BV11279578,奥体南路站 / 奥体南路,奥体南路站
BV10013838,布岭路口 / 布岭路口站,布岭路口
BV10486967,黄旗山路 / 黄旗山路站,黄旗山路
BV09067478,开源大道 / 开源大道站,开源大道
BV11687956,萝岗村口站 / 萝岗村口,萝岗村口站
BV10846982,植树公园站 / 植树公园,植树公园站
BV10924417,开泰大道 / 开泰大道站,开泰大道
BV10846984,荔红二路站 / 荔红二路,荔红二路站
BV10013981,香雪公寓 / 香雪公寓站,香雪公寓
BV09241985,开萝大道 / 开萝大道站,开萝大道
BV11486245,长龙村西 / 长龙村西站,长龙村西
BV10847173,荔红中路 / 荔红中路站,荔红中路
BV10885188,东苑小区 / 东苑小区站,东苑小区
BV10013818,港湾市场 / 港湾市场站,港湾市场
BV11690302,港湾路口 / 港湾路口站,港湾路口
BV10885191,怡港花园 / 怡港花园站,怡港花园站
BV11690259,永顺大道站 / 永顺大道,永顺大道站
BV11483381,甘竹村口 / 甘竹村口站,甘竹村口站
BV11597695,长江路口 / 长江路口站,长江路口
BV11690290,东区中学 / 东区中学站,东区中学
BV09320060,宏明路口 / 宏明路口站,宏明路口站
BV11483209,宏光路中 / 宏光路中站,宏光路中站
BV11689043,骏业路东 / 骏业路东站,骏业路东
BV11379029,骏业路中 / 骏业路中站,骏业路中
BV11483204,东鹏大道 / 东鹏大道站,东鹏大道
BV11483206,骏达路中 / 骏达路中站,骏达路中
BV10653031,萝格路口站 / 萝格路口,萝格路口站
BV10017534,光谱中路 / 光谱中路站,光谱中路
BV11467016,瑞和路口 / 瑞和路口站,瑞和路口
BV11467033,开泰大道 / 开泰大道站,开泰大道
BV11102407,萝峰村口 / 萝峰村口站,萝峰村口
BV11102410,萝峰小学 / 萝峰小学站,萝峰小学
BV11573826,瑞和路南 / 瑞和路南站,瑞和路南
BV11580946,东明二路 / 东明二路站,东明二路
BV10021191,赵溪路口 / 赵溪路口站,赵溪路口
BV11689179,护林路中 / 护林路中站,护林路中
BV11467031,骏业路口 / 骏业路口站,骏业路口
BV09026886,东达路南 / 东达路南站,东达路南站
BV11552290,沧联二路 / 沧联二路站,沧联二路站
BV11552292,小迳路口 / 小迳路口站,小迳路口站
BV11549864,沧联小学 / 沧联小学站,沧联小学站
BV09368449,华峰路口 / 华峰路口站,华峰路口站
BV10014485,新庄村委 / 新庄村委站,新庄村委站
BV09368638,新庄二路 / 新庄二路站,新庄二路站
BV09298085,荷棠下村 / 荷棠下村站,荷棠下村
BV09388803,枫下村西 / 枫下村西站,枫下村西站
BV10885214,南翔二路站 / 南翔二路,南翔二路站
BV10885182,南云四路站 / 南云四路,南云四路
BV10885177,南云五路站 / 南云五路,南云五路站
BV09190191,茅岗公寓站 / 茅岗公寓,茅岗公寓站
BV11688331,高塘石东 / 高塘石东站,高塘石东站
BV11688327,广汕二路 / 广汕二路站,广汕二路
BV10847182,班岭村口 / 班岭村口站,班岭村口
BV11689177,科珠路南 / 科珠路南站,科珠路南
BV11412816,玉树新村站 / 玉树新村,玉树新村站
BV11086408,木摾水库站 / 木摾水库,木摾水库
BV11573885,黄登村口站 / 黄登村口,黄登村口
BV10021977,澳洲山庄站 / 澳洲山庄,澳洲山庄
BV11573870,镇龙一中站 / 镇龙一中,镇龙一中
BV11573876,镇龙医院站 / 镇龙医院,镇龙医院站
BV11483394,石沥村口站 / 石沥村口,石沥村口
BV11400778,穗丰村委 / 穗丰村委站,穗丰村委
BV11379028,观达路北站 / 观达路北,观达路北站
BV11379024,云埔一路站 / 云埔一路,云埔一路
BV11379030,骏业路西站 / 骏业路西,骏业路西
BV11170265,灵山东路 / 灵山东路站,灵山东路
BV11689171,珠吉公路 / 珠吉公路站,珠吉公路
BV09389625,聆雨路口 / 聆雨路口站,聆雨路口
BV09244069,科学广场 / 科学广场站,科学广场
BV09245638,云龙路南 / 云龙路南站,云龙路南
BV09050666,埔心村口 / 埔心村口站,埔心村口
BV09319108,凤湖一路站 / 凤湖一路,凤湖一路
BV11383671,凤湖中路站 / 凤湖中路,凤湖中路站
BV11383672,凤湖四路站 / 凤湖四路,凤湖四路
BV11412818,护林路西 / 护林路西站,护林路西站
BV11597700,国医东路 / 国医东路站,国医东路站
BV11597704,中环东路 / 中环东路站,中环东路
BV09229654,广外正门 / 广外正门站,广外正门站
BV09230886,黄埔新港 / 黄埔新港站,黄埔新港站
BV09348432,员工大厦站 / 员工大厦,员工大厦
BV09242414,大沙北路 / 大沙北路站,大沙北路
BV10017794,大淋岗村 / 大淋岗村站,大淋岗村
BV11688058,玉岩路南站 / 玉岩路南,玉岩路南
BV09003166,永和大道 / 永和大道站,永和大道
BV11206243,兴龙大道 / 兴龙大道站,兴龙大道站
BV11483388,禾丰路中 / 禾丰路中站,禾丰路中站
BV11483396,斗塘路西 / 斗塘路西站,斗塘路西站
BV10888706,水西路北站 / 水西路北,水西路北站
BV10847165,水西路中站 / 水西路中,水西路中站
BV11549367,水西路南 / 水西路南站,水西路南
BV11680106,玉岩路中 / 玉岩路中站,玉岩路中
BV11619433,康大路口 / 康大路口站,康大路口
BV11619431,景新国际 / 景新国际站,景新国际
BV09056352,凤秀家园站 / 凤秀家园,凤秀家园站
BV09393817,永和中学站 / 永和中学,永和中学站
BV10653030,井泉四路站 / 井泉四路,井泉四路站
BV10653025,井泉一路站 / 井泉一路,井泉一路站
BV11688077,横迳广场站 / 横迳广场,横迳广场站
BV10017831,海伦春天 / 海伦春天站,海伦春天站
BV11472709,中南路北 / 中南路北站,中南路北
BV10019799,培贤路口站 / 培贤路口,培贤路口站
BV09347037,东涌镇标站 / 东涌镇标,东涌镇标站
BV10017747,云山诗意 / 云山诗意站,云山诗意
BV09276323,黄边北路 / 黄边北路站,黄边北路
BV11689173,吉山小学 / 吉山小学站,吉山小学
BV09026885,潮汕学院 / 潮汕学院站,潮汕学院
BV10847046,大观路北站 / 大观路北,大观路北
BV09173362,永和中队 / 永和中队站,永和中队站
BV11688330,新丰路口站 / 新丰路口,新丰路口站
BV11402648,北京路口 / 北京路口站,北京路口站
BV11486940,悦景路东站 / 悦景路东,悦景路东
BV09123935,黄村西路 / 黄村西路站,黄村西路
BV11609227,天坤三路 / 天坤三路站,天坤三路站
BV11609229,广氮花园 / 广氮花园站,广氮花园站
BV11118501,车陂路北站 / 车陂路北,车陂路北
BV09234812,天坤二路站 / 天坤二路,天坤二路站
BV10378335,庙贝农场站 / 庙贝农场,庙贝农场站
BV10015813,横沥医院站 / 横沥医院,横沥医院站
BV09246072,横沥中学站 / 横沥中学,横沥中学站
BV11167616,葵蓬小学 / 葵蓬小学站,葵蓬小学
BV09238710,沙洛市场站 / 沙洛市场,沙洛市场站
BV11463002,石槎路中 / 石槎路中站,石槎路中
BV10944119,龙河路口站 / 龙河路口,龙河路口
BV11171945,龙兴西路 / 龙兴西路站,龙兴西路
BV11482984,龙归城南站 / 龙归城南,龙归城南
BV11482985,龙归城北站 / 龙归城北,龙归城北站
BV10713664,环洲三路 / 环洲三路站,环洲三路
BV11627310,沙凤二路 / 沙凤二路站,沙凤二路
BV11627309,金刚禅寺 / 金刚禅寺站,金刚禅寺
BV11448837,荔香路南 / 荔香路南站,荔香路南站
BV09400276,青年路中站 / 青年路中,青年路中站
BV09079048,创业路东 / 创业路东站,创业路东
BV10022128,沙湾三街 / 沙湾三街站,沙湾三街
BV11467014,光宝路口 / 光宝路口站,光宝路口
BV11467019,光谱西路 / 光谱西路站,光谱西路
BV11118918,五羊本田站 / 五羊本田,五羊本田
BV09238800,禾丰四街站 / 禾丰四街,禾丰四街站
BV09406410,永盛路东站 / 永盛路东,永盛路东站
BV11445075,禾岭路中 / 禾岭路中站,禾岭路中
BV11237861,沙溪村口 / 沙溪村口站,沙溪村口
BV11330434,太营路口 / 太营路口站,太营路口站
BV11484175,中八小学 / 中八小学站,中八小学
BV10866342,两潭路口站 / 两潭路口,两潭路口
BV11484171,刘家路口 / 刘家路口站,刘家路口
BV11484177,环镇路口 / 环镇路口站,环镇路口
BV11345922,江高路口站 / 江高路口,江高路口站
BV11689357,良田路口站 / 良田路口,良田路口
BV09243525,花田路口站 / 花田路口,花田路口
BV09243508,寮采北路站 / 寮采北路,寮采北路
BV11345911,夏花三路站 / 夏花三路,夏花三路站
BV10014235,双岗村口 / 双岗村口站,双岗村口
BV10018361,逸景路西站 / 逸景路西,逸景路西
BV09244074,沙东新村站 / 沙东新村,沙东新村
BV09002136,凤凰公司站 / 凤凰公司,凤凰公司
BV09002662,渔中路口 / 渔中路口站,渔中路口
BV09343707,渔兴路口 / 渔兴路口站,渔兴路口
BV11688562,广汕一路 / 广汕一路站,广汕一路
BV11600787,高普路北 / 高普路北站,高普路北
BV11600786,高普路中 / 高普路中站,高普路中
BV11487906,莲溪路口 / 莲溪路口站,莲溪路口
BV11629704,怡新路口 / 怡新路口站,怡新路口站
BV11474543,花城大道站 / 花城大道,花城大道
BV09355190,华成路口站 / 华成路口,华成路口
BV11519168,燕岭大厦 / 燕岭大厦站,燕岭大厦
BV11519165,农垦总局 / 农垦总局站,农垦总局
BV11688576,南湖半山 / 南湖半山站,南湖半山站
BV11330442,太和路口 / 太和路口站,太和路口站
BV11412823,揽月路西 / 揽月路西站,揽月路西
BV09179858,望岗大道站 / 望岗大道,望岗大道
BV11690768,大布路口站 / 大布路口,大布路口站
BV11098347,石马村口站 / 石马村口,石马村口站
BV09246904,和瑞路西站 / 和瑞路西,和瑞路西
BV11688379,嘉禾长湴 / 嘉禾长湴站,嘉禾长湴
BV11162264,创业路口 / 创业路口站,创业路口站
BV11688118,郭塘路口站 / 郭塘路口,郭塘路口站
BV09244923,郭塘货场站 / 郭塘货场,郭塘货场站
BV11688160,大岭路口站 / 大岭路口,大岭路口站
BV11688446,夏花一路 / 夏花一路站,夏花一路
BV09000463,平沙路口 / 平沙路口站,平沙路口站
BV11481843,同康路东站 / 同康路东,同康路东
BV11688378,永泰广场 / 永泰广场站,永泰广场
BV11688383,东平路口 / 东平路口站,东平路口
BV09173927,太和总站 / 太和总站1,太和总站1
BV11594764,百顺南路 / 百顺南路站,百顺南路
BV11482221,百顺北路 / 百顺北路站,百顺北路
BV11358743,海珠北路 / 海珠北路站,海珠北路站
BV09173363,永和医院 / 永和医院站,永和医院站
BV11327287,长岗村委站 / 长岗村委,长岗村委
BV09393816,新塘三中站 / 新塘三中,新塘三中站
BV11248517,新康花园站 / 新康花园,新康花园
BV09340303,中山六路1 / 中山六路,中山六路1
BV11477126,黄边南路 / 黄边南路站,黄边南路
BV11477133,乐得花园 / 乐得花园站,乐得花园
BV11687925,东风西路 / 东风西路站,东风西路站
BV11171948,行知学院 / 行知学院站,行知学院
BV11689969,建设大道 / 建设大道站,建设大道
BV09376900,沙面新城 / 沙面新城站,沙面新城
BV10252936,宝盛路口站 / 宝盛路口,宝盛路口站
BV09180357,龙兴西路 / 龙兴西路站,龙兴西路
BV09407401,马房三街 / 马房三街站,马房三街站
BV09313070,丽美酒店 / 丽美酒店站,丽美酒店
BV09005847,新湖大厦 / 新湖大厦站,新湖大厦
BV11690336,花城南路 / 花城南路站,花城南路
BV10014234,东镜路口 / 东镜路口站,东镜路口
BV09407400,金城大厦 / 金城大厦站,金城大厦站
BV11435995,荔红南路站 / 荔红南路,荔红南路站
BV11481126,滘心村口 / 滘心村口站,滘心村口
BV09300409,朝阳路口 / 朝阳路口站,朝阳路口
BV11688078,江人路口站 / 江人路口,江人路口
BV09412766,雅瑶医院站 / 雅瑶医院,雅瑶医院站
BV09001437,雅瑶市场 / 雅瑶市场站,雅瑶市场
BV09133871,新华市场 / 新华市场站,新华市场
BV11688163,合和新城 / 合和新城站,合和新城
BV09000461,云峰花园站 / 云峰花园,云峰花园
BV10017263,永利路口站 / 永利路口,永利路口
BV11688085,东镜市场站 / 东镜市场,东镜市场
BV11330433,方华路口 / 方华路口站,方华路口站
BV11691191,花东市场 / 花东市场站,花东市场站
BV11401362,大塘中学 / 大塘中学站,大塘中学
BV11568717,金谷南路 / 金谷南路站,金谷南路
BV11568711,维翔公司 / 维翔公司站,维翔公司
BV11568714,先科一路 / 先科一路站,先科一路
BV11448861,莘田小学站 / 莘田小学,莘田小学
BV11382872,三联路口站 / 三联路口,三联路口
BV09265071,长钟路南站 / 长钟路南,长钟路南
BV09078460,团结路口站 / 团结路口,团结路口
BV11691190,联群新村 / 联群新村站,联群新村站
BV11690338,人和二中 / 人和二中站,人和二中
BV11494118,人爱医院 / 人爱医院站,人爱医院
BV09375677,风神花园 / 风神花园站,风神花园站
BV11406716,棠澍小学 / 棠澍小学站,棠澍小学
BV11147685,云山路中 / 云山路中站,云山路中站
BV11388330,杨一村东站 / 杨一村东,杨一村东
BV11672467,杨荷桥东站 / 杨荷桥东,杨荷桥东站
BV09000679,太平中学 / 太平中学站,太平中学
BV11346374,清布中学 / 清布中学站,清布中学
BV11364424,田美新村 / 田美新村站,田美新村
BV10929023,龙珠路东 / 龙珠路东站,龙珠路东
BV11364432,圆玄小学 / 圆玄小学站,圆玄小学
BV09002105,大华市场 / 大华市场站,大华市场
BV11306471,杨屋路口 / 杨屋路口站,杨屋路口站
BV09293648,溢盈广场 / 溢盈广场站,溢盈广场
BV10015475,南航路口 / 南航路口站,南航路口
BV09242377,太子广场站 / 太子广场,太子广场
BV09317448,华侨农场 / 华侨农场站,华侨农场
BV11497169,花侨市场 / 花侨市场站,花侨市场
BV09163014,花地大道2 / 花地大道,花地大道2
BV09368254,石井大道站 / 石井大道,石井大道
BV09121080,联滘路东 / 联滘路东站,联滘路东
BV11488083,江府路西站 / 江府路西,江府路西
BV11488085,江府路东站 / 江府路东,江府路东
BV11488070,郭塘村口站 / 郭塘村口,郭塘村口
BV11488075,郭塘小学站 / 郭塘小学,郭塘小学
BV11488088,郭塘村尾站 / 郭塘村尾,郭塘村尾
BV11488087,郭石路口站 / 郭石路口,郭石路口站
BV11166350,北太路西站 / 北太路西,北太路西
BV11488535,北太路中站 / 北太路中,北太路中
BV10019298,北太路东站 / 北太路东,北太路东
BV11330823,沙亭苏庄站 / 沙亭苏庄,沙亭苏庄
BV09332618,金盆村委站 / 金盆村委,金盆村委
BV11166352,良田大道站 / 良田大道,良田大道
BV11490723,田心村委站 / 田心村委,田心村委站
BV11490724,秀盛路口站 / 秀盛路口,秀盛路口
BV09242693,大沥新庄站 / 大沥新庄,大沥新庄站
BV09208065,永兴村委 / 永兴村委站,永兴村委
BV11688084,雄丰路口 / 雄丰路口站,雄丰路口
BV11477130,园坛岭路 / 园坛岭路站,园坛岭路
BV11477129,西岭路口站 / 西岭路口,西岭路口
BV11477127,望岗小学站 / 望岗小学,望岗小学
BV09200437,唐阁路中站 / 唐阁路中,唐阁路中
BV11621039,良种猪场站 / 良种猪场,良种猪场
BV11482316,头陂村委站 / 头陂村委,头陂村委
BV11482317,和顺路口站 / 和顺路口,和顺路口
BV09179368,芳园路东 / 芳园路东站,芳园路东
BV09242541,大干围北 / 大干围北站,大干围北
BV11478464,元下田村 / 元下田村站,元下田村
BV11456553,天慧路北站 / 天慧路北,天慧路北
BV11341513,凌塘村1 / 凌塘村站1,凌塘村1
BV09063602,空港大道 / 空港大道站,空港大道
BV11330445,申通物流 / 申通物流站,申通物流站
